UID,school,eduction_level,education_type,job_title,No_Year_Wor_Experience,YearsWork,work_location,tuition,Blockchain,Cloud_computing,Analytical_reasoning,Artificial_Intelligence,UX_design,Business_analysis,Affiliate_marketing,Sales,Scientific_computing,Video_production,Persuasion,Collaboration,Adaptability,Emotional_Intelligence,Microsoft_Office,Microsoft_Excel,Visual_Basic,Python,R,SQL,Java,Public_Speaking,Cert_Amazon_Web_Services_Essential_Training,Cert_Scrum_Basics,Cert_Time_Management_Fundamentals,Cert_Online_Marketing_Foundations,Cert_Project_Management_Foundations,Cert_Body_Language_for_Leaders,Cert_Excel_Essential_Training,Cert_AWS_Certified_Advanced_Networking,Cert_Programming_Foundations,Cert_Project_Management_Professional,Cert_Git_Essential_Training,Cert_Microsoft_Certified__Azure_Fundamentals,Cert_Developing_Executive_Presence,Cert_Online_Marketing_Foundations.1,Cert_Strategic_Thinking,Count,numbersofjob,jobgrowth,salary,salarygrowth
11,University of Windsor,Associate,Construction trades,Mathematician,8,8 years,Newfoundland and Labrador,21000,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,71300,13.48,72700,-0.6
12,Vancouver Institute of Media Arts,Bachelor's,Multidisciplinary/interdisciplinary studies,Actuary,6,6 years,New Brunswick,22000,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,40500,-5,146875,18.76
13,Wilfrid Laurier University,Associate,French language and literature/letters,Interactive Media Developer,6,6 years,Nova Scotia,55500,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,67700,-1.48,56275,-5
14,College of the New Caledonia,Doctoral,"Military Science, leadership and operational art",Accommodation Service Manager,10,10 years,Alberta,45000,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,92100,10.84,126250,18.76
15,University of Toronto,Associate,Communications technologies/technicians and support services,Terminologist,5,5 years,Newfoundland and Labrador,56000,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,39900,-4.12,111625,11.72
16,Queen's University,Master's,Science technologies/technicians,Home Building and Renovation Manager,4,4 years,New Brunswick,44500,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,99300,10.84,95050,17.88
17,McMaster University,Associate,Philosophy and religious studies,Transportation Manager,10,10 years,Nunavut,60500,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,46900,3.8,45850,-3.24
18,Brock University,Master's,"Agriculture, agriculture operations and related Sciences",Dietitian,10,10 years,Nova Scotia,34000,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,31900,14.36,129325,2.92
19,Victoria University,Bachelor's,Engineering technologies and engineering-related fields,Business Development Officer,1,1 years,Quebec,44500,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,45500,8.2,124225,1.16
20,Wilfrid Laurier University,Associate,Psychology,Interactive Media Developer,4,4 years,Northwest Territories,76000,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,52700,4.68,133225,18.76
21,Vancouver Island University,Associate,Physical Sciences,Information Systems Analyst,6,6 years,Yukon,27500,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,7100,8.2,139375,-0.6
22,University de Montryal,Master's,Education,Employment Counsellor,9,9 years,Alberta,63500,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,30500,13.48,62725,5.56
23,University de Sherbrooke,Associate,Library Science,Psychologist,4,4 years,Ontario,57000,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,82100,19.64,66250,10.84
24,New Brunswick Bible Institute,Doctoral,Security and protective services,Publiching Manager,8,8 years,Quebec,52000,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,97700,15.24,114250,16.12
25,University de Sherbrooke,Associate,"Area, ethnic, cultural, gender, and group studies",Home Building and Renovation Manager,4,4 years,British Columbia,39000,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,92100,19.64,51925,5.56
26,Brock University,Bachelor's,Mathematics and statistics,Senior Communication Manager,4,4 years,Alberta,54000,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,90300,-1.48,72625,-5
27,York University,Master's,Visual and performing arts,Actuary,7,7 years,Quebec,47500,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,46900,5.56,137650,17.88
28,HEC Montryal,Associate,Legal professions and studies,Translator,8,8 years,Northwest Territories,60000,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,28900,0.28,116050,-1.48
29,University of Guelph,Master's,Health professions and related programs,Engineering Manager,6,6 years,Yukon,57000,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,39900,8.2,107950,5.56
30,College of the New Caledonia,Associate,"Communication, journalism and related programs",Senior Service Manager,6,6 years,Saskatchewan,20000,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,39100,10.84,76525,12.6
31,University of Windsor,Associate,Military technologies and applied Sciences,Database Analyst,4,4 years,Nova Scotia,74500,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,51100,17.88,49300,5.56
32,Niagara College,Bachelor's,Public administration and social service professions,Retail and Wholesale Trade Manager,3,3 years,Yukon,49000,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,3700,10.84,47950,15.24
33,Vancouver Institute of Media Arts,Associate,Mathematics and statistics,Educational Counsellor,5,5 years,Alberta,20500,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,27300,1.16,57175,3.8
34,College of the New Caledonia,Doctoral,"Agriculture, agriculture operations and related Sciences",Senior Construction Manager,6,6 years,Nunavut,56000,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,89500,0.28,125875,9.96
35,University de Montryal,Associate,"Dental, medical and veterinary residency programs",Purchasing Manager,3,3 years,Northwest Territories,54500,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,40500,11.72,77800,14.36
36,University de Montryal,Associate,Library Science,Nutritionist,9,9 years,Alberta,46000,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,93100,15.24,65425,-3.24
37,New Brunswick Bible Institute,Doctoral,Transportation and materials moving,Senior Communication Manager,9,9 years,Nunavut,76000,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,58100,15.24,130825,17.88
38,University du Quybec à Rimouski (UQAR),Associate,Education,Civil Engineer,2,2 years,Alberta,42500,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,53100,2.04,146800,2.92
39,Cygep de Saint-Laurent,Doctoral,Construction trades,Transportation Manager,5,5 years,British Columbia,60000,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,34500,-1.48,148150,8.2
40,Victoria University,Bachelor's,"Parks, recreation, leisure and fitness studies",Insurance Manager,5,5 years,Northwest Territories,72500,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,62900,16.12,55225,18.76
41,University of Guelph,Bachelor's,"Parks, recreation, leisure and fitness studies",Utilities Manager,9,9 years,British Columbia,58500,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,59700,16.12,81475,2.92
42,University de Sherbrooke,Doctoral,Social Sciences,Marketing Manager,10,10 years,Alberta,50500,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,35100,1.16,96775,2.04
43,University of Toronto,Doctoral,"Communication, journalism and related programs",Facility Operation and Maintenance Manager,1,1 years,Quebec,73500,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,7700,8.2,92050,-5
44,Huron University College,Doctoral,Legal professions and studies,Accommodation Service Manager,8,8 years,Nunavut,35500,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,30100,16.12,110500,0.28
45,Wilfrid Laurier University,Associate,"Aboriginal and foreign languages, literatures and linguistics",Dietitian,5,5 years,Quebec,54500,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,84700,9.96,130075,3.8
46,"University de Guelph, Campus d'Alfred",Associate,Security and protective services,Financial Manager,6,6 years,Newfoundland and Labrador,59000,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,9900,12.6,130675,13.48
47,Vancouver Institute of Media Arts,Bachelor's,Biological and biomedical Sciences,Terminologist,6,6 years,Alberta,64500,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,19900,1.16,96550,15.24
48,Niagara College,Master's,Military technologies and applied Sciences,Engineering Manager,3,3 years,New Brunswick,63500,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,40900,0.28,144475,11.72
49,University de Montryal,Master's,Construction trades,Geoscientist,10,10 years,Alberta,58000,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,40100,4.68,89950,9.96
50,University of Waterloo,Bachelor's,English language and literature/letters,Interactive Media Developer,4,4 years,Alberta,34000,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,34900,7.32,109075,-3.24
51,University de Sherbrooke,Bachelor's,Military technologies and applied Sciences,Real Estate Agent,7,7 years,Alberta,64000,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,34300,3.8,133150,5.56
52,Cygep de Saint-Hyacinthe,Associate,Engineering,Educational Counsellor,7,7 years,Newfoundland and Labrador,58000,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,59500,11.72,68500,10.84
53,Ryerson University,Associate,Personal and culinary services,Statistician,2,2 years,Ontario,50000,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,67300,-1.48,42775,17.88
54,York University,Bachelor's,"Dental, medical and veterinary residency programs",Dietitian,5,5 years,Newfoundland and Labrador,49000,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,84500,13.48,110275,9.96
55,Brescia University College,Doctoral,"Agriculture, agriculture operations and related Sciences",Economist,4,4 years,Alberta,68000,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,61500,-2.36,133825,5.56
56,University du Quybec à Rimouski (UQAR),Associate,Architecture and related services,Marketing researcher,6,6 years,New Brunswick,53000,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,17700,-3.24,57700,11.72
57,Vancouver Institute of Media Arts,Master's,"Area, ethnic, cultural, gender, and group studies",Economic Policy Researcher,1,1 years,Alberta,50500,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,88500,4.68,48250,2.04
58,Victoria University,Associate,Mathematics and statistics,Facility Operation and Maintenance Manager,6,6 years,Yukon,40000,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,55300,-2.36,143950,-4.12
59,New Brunswick Bible Institute,Bachelor's,Education,Natural Resources Manager,6,6 years,Quebec,64500,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,19500,-0.6,111475,10.84
60,Vancouver Institute of Media Arts,Associate,Legal professions and studies,Purchasing Manager,4,4 years,Nova Scotia,32000,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,95900,-0.6,95800,15.24
61,Vancouver Island University,Master's,Transportation and materials moving,Financial Manager,3,3 years,Alberta,68000,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,61500,17,98500,17.88
62,University of Guelph,Associate,English language and literature/letters,Purchasing Manager,3,3 years,Prince Edward Island,52000,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,18900,17,129175,6.44
63,Saint Mary's University,Master's,"Parks, recreation, leisure and fitness studies",Investment Manager,9,9 years,Yukon,60000,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,55100,12.6,45475,1.16
64,University of Waterloo,Bachelor's,Communications technologies/technicians and support services,Dietitian,8,8 years,Ontario,66000,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,5900,13.48,132025,11.72
65,Brescia University College,Doctoral,Psychology,Insurance Manager,9,9 years,British Columbia,58500,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,79900,17.88,100375,4.68
66,York University,Master's,Theology and religious vocations,Community Manager,3,3 years,Saskatchewan,77000,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,6300,9.08,103000,10.84
67,University du Quybec à Rimouski (UQAR),Bachelor's,Engineering,Business Development Officer,6,6 years,Prince Edward Island,45500,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,69900,19.64,132550,17
68,University du Quybec à Rimouski (UQAR),Doctoral,Library Science,Marketing Manager,8,8 years,Nunavut,29000,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,73900,6.44,62275,19.64
69,Niagara College,Associate,Social Sciences,Financial Sales Representative,8,8 years,Manitoba,78500,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,19500,-4.12,59275,17
70,Ryerson University,Master's,"Agriculture, agriculture operations and related Sciences",Railway Traffic Controller,10,10 years,Saskatchewan,36000,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,20100,-1.48,138475,4.68
71,Cygep de Saint-Laurent,Master's,Engineering technologies and engineering-related fields,Natural Resources Manager,4,4 years,Quebec,64000,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,19500,-0.6,111475,10.84
72,Huron University College,Master's,History,Senior Communication Manager,10,10 years,Prince Edward Island,62000,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,58700,-3.24,40000,11.72
73,New Brunswick Bible Institute,Doctoral,Physical Sciences,Marine Traffic Regulators,7,7 years,Manitoba,37000,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,36700,-2.36,82900,16.12
74,York University,Master's,"Agriculture, agriculture operations and related Sciences",Actuary,1,1 years,Alberta,74500,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,42300,8.2,55000,10.84
75,New Brunswick Bible Institute,Doctoral,Precision production,Facility Operation and Maintenance Manager,1,1 years,British Columbia,79500,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,27100,7.32,59350,17
76,University of Western Ontario,Bachelor's,"Military Science, leadership and operational art",Utilities Manager,9,9 years,Newfoundland and Labrador,21000,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,31300,12.6,139150,17.88
77,University du Quybec à Rimouski (UQAR),Doctoral,"Liberal arts and sciences, general studies and humanities",Business Development Officer,10,10 years,British Columbia,55000,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,96300,9.96,124750,17
78,Native Education College,Doctoral,Engineering,Transportation Manager,7,7 years,Quebec,31500,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,88300,0.28,50650,-4.12
79,HEC Montryal,Doctoral,"Business, management, marketing and related support services",Purchasing Manager,5,5 years,Newfoundland and Labrador,73000,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,67900,5.56,69325,-3.24
80,"University de Guelph, Campus d'Alfred",Associate,Philosophy and religious studies,Facility Operation and Maintenance Manager,3,3 years,Prince Edward Island,61500,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,64700,10.84,130450,13.48
81,Niagara College,Bachelor's,Precision production,Psychologist,7,7 years,Prince Edward Island,22500,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,76900,10.84,129250,18.76
82,Brescia University College,Doctoral,"Communication, journalism and related programs",Accommodation Service Manager,6,6 years,Yukon,30500,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,12300,19.64,82750,10.84
83,New Brunswick Bible Institute,Bachelor's,Psychology,Senior Government Official,8,8 years,New Brunswick,56500,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,31500,12.6,57475,17
84,Cygep de Saint-Hyacinthe,Associate,Education,Database Analyst,7,7 years,Nunavut,63500,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,67700,15.24,134650,15.24
85,Victoria University,Master's,Transportation and materials moving,Climatologists,7,7 years,Nova Scotia,20500,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,28100,10.84,95725,16.12
86,Queen's University,Bachelor's,Precision production,Natural Resources Manager,8,8 years,Northwest Territories,29000,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,4700,-0.6,137125,6.44
87,Queen's University,Master's,Natural resources and conservation,Senior Construction Manager,8,8 years,British Columbia,50000,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,40900,-5,64675,13.48
88,University of Alberta,Associate,"Parks, recreation, leisure and fitness studies",Information Systems Analyst,5,5 years,Ontario,46000,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,87700,6.44,115750,10.84
89,McMaster University,Master's,Architecture and related services,Pharmacist,6,6 years,Ontario,35500,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,43100,0.28,130675,2.92
90,Simon Fraser University,Associate,Legal professions and studies,Economist,10,10 years,New Brunswick,68500,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,46500,16.12,86125,-5
91,Niagara College,Master's,Personal and culinary services,Senior Service Manager,8,8 years,New Brunswick,23000,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,88300,17.88,89275,2.04
