UID,school,eduction_level,education_type,job_title,No_Year_Wor_Experience,YearsWork,work_location,tuition,Blockchain,Cloud_computing,Analytical_reasoning,Artificial_Intelligence,UX_design,Business_analysis,Affiliate_marketing,Sales,Scientific_computing,Video_production,Persuasion,Collaboration,Adaptability,Emotional_Intelligence,Microsoft_Office,Microsoft_Excel,Visual_Basic,Python,R,SQL,Java,Public_Speaking,Cert_Amazon_Web_Services_Essential_Training,Cert_Scrum_Basics,Cert_Time_Management_Fundamentals,Cert_Online_Marketing_Foundations,Cert_Project_Management_Foundations,Cert_Body_Language_for_Leaders,Cert_Excel_Essential_Training,Cert_AWS_Certified_Advanced_Networking,Cert_Programming_Foundations,Cert_Project_Management_Professional,Cert_Git_Essential_Training,Cert_Microsoft_Certified__Azure_Fundamentals,Cert_Developing_Executive_Presence,Cert_Online_Marketing_Foundations.1,Cert_Strategic_Thinking,Count
63,Saint Mary's University,Master's,"Parks, recreation, leisure and fitness studies",Investment Manager,9,9 years,Yukon,60000,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1
64,University of Waterloo,Bachelor's,Communications technologies/technicians and support services,Dietitian,8,8 years,Ontario,66000,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1
65,Brescia University College,Doctoral,Psychology,Insurance Manager,9,9 years,British Columbia,58500,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1
66,York University,Master's,Theology and religious vocations,Community Manager,3,3 years,Saskatchewan,77000,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1
67,University du Quybec à Rimouski (UQAR),Bachelor's,Engineering,Business Development Officer,6,6 years,Prince Edward Island,45500,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1
68,University du Quybec à Rimouski (UQAR),Doctoral,Library Science,Marketing Manager,8,8 years,Nunavut,29000,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1
69,Niagara College,Associate,Social Sciences,Financial Sales Representative,8,8 years,Manitoba,78500,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1
70,Ryerson University,Master's,"Agriculture, agriculture operations and related Sciences",Railway Traffic Controller,10,10 years,Saskatchewan,36000,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1
71,Cygep de Saint-Laurent,Master's,Engineering technologies and engineering-related fields,Natural Resources Manager,4,4 years,Quebec,64000,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1
72,Huron University College,Master's,History,Senior Communication Manager,10,10 years,Prince Edward Island,62000,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1
73,New Brunswick Bible Institute,Doctoral,Physical Sciences,Marine Traffic Regulators,7,7 years,Manitoba,37000,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1
74,York University,Master's,"Agriculture, agriculture operations and related Sciences",Actuary,1,1 years,Alberta,74500,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1
75,New Brunswick Bible Institute,Doctoral,Precision production,Facility Operation and Maintenance Manager,1,1 years,British Columbia,79500,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
76,University of Western Ontario,Bachelor's,"Military Science, leadership and operational art",Utilities Manager,9,9 years,Newfoundland and Labrador,21000,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1
77,University du Quybec à Rimouski (UQAR),Doctoral,"Liberal arts and sciences, general studies and humanities",Business Development Officer,10,10 years,British Columbia,55000,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1
78,Native Education College,Doctoral,Engineering,Transportation Manager,7,7 years,Quebec,31500,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1
79,HEC Montryal,Doctoral,"Business, management, marketing and related support services",Purchasing Manager,5,5 years,Newfoundland and Labrador,73000,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1
80,"University de Guelph, Campus d'Alfred",Associate,Philosophy and religious studies,Facility Operation and Maintenance Manager,3,3 years,Prince Edward Island,61500,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
81,Niagara College,Bachelor's,Precision production,Psychologist,7,7 years,Prince Edward Island,22500,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1
82,Brescia University College,Doctoral,"Communication, journalism and related programs",Accommodation Service Manager,6,6 years,Yukon,30500,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1
83,New Brunswick Bible Institute,Bachelor's,Psychology,Senior Government Official,8,8 years,New Brunswick,56500,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1
84,Cygep de Saint-Hyacinthe,Associate,Education,Database Analyst,7,7 years,Nunavut,63500,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1
85,Victoria University,Master's,Transportation and materials moving,Climatologists,7,7 years,Nova Scotia,20500,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1
86,Queen's University,Bachelor's,Precision production,Natural Resources Manager,8,8 years,Northwest Territories,29000,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1
87,Queen's University,Master's,Natural resources and conservation,Senior Construction Manager,8,8 years,British Columbia,50000,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1
88,University of Alberta,Associate,"Parks, recreation, leisure and fitness studies",Information Systems Analyst,5,5 years,Ontario,46000,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1
89,McMaster University,Master's,Architecture and related services,Pharmacist,6,6 years,Ontario,35500,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1
90,Simon Fraser University,Associate,Legal professions and studies,Economist,10,10 years,New Brunswick,68500,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1
91,Niagara College,Master's,Personal and culinary services,Senior Service Manager,8,8 years,New Brunswick,23000,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1
92,Vancouver Island University,Master's,Multidisciplinary/interdisciplinary studies,Terminologist,8,8 years,Newfoundland and Labrador,59000,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1
93,Native Education College,Associate,Architecture and related services,Insurance Manager,4,4 years,New Brunswick,71500,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1
94,Native Education College,Master's,Public administration and social service professions,Business Development Officer,4,4 years,Manitoba,73000,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1
95,University of Western Ontario,Associate,Public administration and social service professions,Terminologist,2,2 years,Yukon,28000,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1
96,College of the New Caledonia,Bachelor's,Construction trades,Interpreters,1,1 years,Alberta,35000,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1
97,HEC Montryal,Doctoral,French language and literature/letters,Railway Traffic Controller,7,7 years,Nunavut,39000,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1
98,New Brunswick Bible Institute,Master's,Science technologies/technicians,Educational Counsellor,8,8 years,Yukon,35500,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
99,New Brunswick Bible Institute,Bachelor's,Personal and culinary services,Library Manager,4,4 years,Ontario,66000,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1
100,Ryerson University,Bachelor's,Engineering,Utilities Manager,6,6 years,Newfoundland and Labrador,31000,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1
101,Vancouver Island University,Associate,Social Sciences,Database Analyst,1,1 years,British Columbia,40500,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1
102,Niagara College,Master's,Engineering,Library and Public Archive Technician,7,7 years,Newfoundland and Labrador,28000,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1
